number,GaiaDR2,teff_xgboost,mh_xgboost,logg_xgboost,Mass5R,P_B,protD,age_seisfit,age_tefffit,ages_rotfit
169,604920275054845824,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
170,604969203322162816,5894.9,-0.061,4.312,-9999.0,-9999.0,-9999.0,-9999.0,7.35402243205941,-9999.0
171,604969203322163840,5866.6,0.026,4.282,-9999.0,-9999.0,-9999.0,-9999.0,7.25557093585576,-9999.0
172,604962365734255744,5972.5,-0.008,4.188,-9999.0,-9999.0,-9999.0,-9999.0,6.743584296894615,-9999.0
173,604894913272261632,5532.7,0.074,4.474,-9999.0,-9999.0,-9999.0,-9999.0,5.90050340264062,-9999.0
174,598907836235995008,5750.5,-0.041,4.409,-9999.0,-9999.0,-9999.0,-9999.0,6.829973184990058,-9999.0
175,604711539643602816,5419.2,-0.084,4.468,-9999.0,-9999.0,-9999.0,-9999.0,10.97330426490627,-9999.0
176,604987070386114688,5933.6,0.038,4.276,-9999.0,-9999.0,-9999.0,-9999.0,6.191563437138343,-9999.0
177,604713463788946432,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
178,605013767903055616,6064.1,-0.017,4.214,-9999.0,-9999.0,-9999.0,-9999.0,5.579910940238572,-9999.0
179,604917526275831040,6073.2,-0.077,4.28,-9999.0,-9999.0,-9999.0,-9999.0,5.477149378509664,-9999.0
180,604920717435743872,6036.2,0.007,4.007,-9999.0,-9999.0,-9999.0,-9999.0,5.110997659758397,-9999.0
181,604920923594172672,6028.2,-0.009,4.201,-9999.0,-9999.0,-9999.0,-9999.0,5.991591772342414,-9999.0
182,604918179110923392,6150.5,0.004,4.278,-9999.0,-9999.0,-9999.0,-9999.0,3.9725216351063763,-9999.0
183,604920824810533376,6043.2,0.056,4.228,-9999.0,-9999.0,-9999.0,-9999.0,5.066709935536448,-9999.0
184,604916564203137280,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
185,604911547681373184,6083.8,-0.061,4.17,-9999.0,-9999.0,-9999.0,-9999.0,5.363903315902432,-9999.0
186,604914777496782720,5879.7,0.015,4.242,-9999.0,-9999.0,-9999.0,-9999.0,7.574479880751541,-9999.0
187,604910379450263168,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
188,604910340794780032,5642.2,-0.151,4.39,-9999.0,-9999.0,-9999.0,-9999.0,11.286820157619804,-9999.0
189,604921988746029312,5476.7,-0.027,4.49,-9999.0,-9999.0,-9999.0,-9999.0,7.0895802965962185,-9999.0
190,604915877008228096,5667.3,0.028,4.455,-9999.0,-9999.0,-9999.0,-9999.0,5.270315834320507,-9999.0
191,604924776180388736,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
192,604903026466307840,5554.4,0.013,4.391,-9999.0,-9999.0,-9999.0,-9999.0,10.723055779598031,-9999.0
193,604915292892687744,5215.4,0.008,4.524,-9999.0,-9999.0,-9999.0,-9999.0,8.61854837309277,-9999.0
194,604902923387008000,5716.9,-0.046,4.395,-9999.0,-9999.0,-9999.0,-9999.0,8.04642233473853,-9999.0
195,604908863325982976,6008.7,0.026,4.216,-9999.0,-9999.0,-9999.0,-9999.0,5.815451683916951,-9999.0
196,604906153202364544,5684.8,0.13,4.437,-9999.0,31.2,-9999.0,-9999.0,4.75518844566168,7.617833447398612
197,604995660320634880,5591.3,-0.068,4.448,-9999.0,26.9,-9999.0,-9999.0,8.284706714659599,4.893407787512498
198,604902682868787584,5992.5,-0.028,4.221,-9999.0,-9999.0,-9999.0,-9999.0,6.519090774885482,-9999.0
199,604950786502478720,5309.0,-0.062,4.495,-9999.0,-9999.0,-9999.0,-9999.0,10.875215211907813,-9999.0
200,604917453260607488,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
201,604917487620349184,6087.9,-0.017,4.097,-9999.0,-9999.0,-9999.0,-9999.0,5.524347352908681,-9999.0
202,604920584292552832,6032.6,-0.004,4.273,-9999.0,-9999.0,-9999.0,-9999.0,5.343528566761308,-9999.0
203,604911410242411136,5932.1,0.074,4.268,-9999.0,-9999.0,-9999.0,-9999.0,5.976401700214596,-9999.0
204,604921030968952832,4578.5,-0.11,3.637,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
205,604921305846836864,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
